wanikani	word	reading	sense 1	sense 2	sense 3	url
10	地下鉄	ちかてつ	underground train, subway	Rapid transit		http://jisho.org/word/%E5%9C%B0%E4%B8%8B%E9%89%84
11	意味	いみ	meaning, significance	Meaning (linguistics)		http://jisho.org/word/%E6%84%8F%E5%91%B3
11	働く	はたらく	to work, to labor, to labour	to function, to operate, to be effective, to work (i.e. ... works), to come into play	to commit (e.g. a crime), to perpetrate, to do, to act, to practise, to practice	http://jisho.org/word/%E5%83%8D%E3%81%8F
11	便利	べんり	convenient, handy, useful			http://jisho.org/word/%E4%BE%BF%E5%88%A9
11	洋服	ようふく	Western-style clothes (cf traditional Japanese clothes)			http://jisho.org/word/%E6%B4%8B%E6%9C%8D
11	仕事	しごと	work, job, business, occupation, employment, vocation, task	work	Work	http://jisho.org/word/%E4%BB%95%E4%BA%8B
11	成る	なる	to become, to get, to grow, to be, to reach, to attain	to result in, to prove to be	to consist of, to be composed of	http://jisho.org/word/%E6%88%90%E3%82%8B
11	好き	すき	liking, fondness, love			http://jisho.org/word/%E5%A5%BD%E3%81%8D
11	低い	ひくい	low (rank, degree, value, content, quality, etc.)	low (position), close to the ground	short (height)	http://jisho.org/word/%E4%BD%8E%E3%81%84
11	良い	よい	good, excellent, fine, nice, pleasant, agreeable	sufficient (can be used to turn down an offer), ready, prepared	profitable (e.g. deal, business offer, etc.), beneficial	http://jisho.org/word/%E8%89%AF%E3%81%84
11	時々	ときどき	sometimes, at times			http://jisho.org/word/%E6%99%82%E3%80%85
12	消す	けす	to erase, to delete, to cross out	to turn off power	to extinguish, to put out	http://jisho.org/word/%E6%B6%88%E3%81%99
12	寒い	さむい	cold (e.g. weather)	uninteresting (esp. joke), lame, dull, weak, corny		http://jisho.org/word/%E5%AF%92%E3%81%84
12	言葉	ことば	language, dialect	word, words, phrase, term, expression, remark	speech, (manner of) speaking	http://jisho.org/word/%E8%A8%80%E8%91%89
12	文章	ぶんしょう	sentence, article, composition	(writing) style		http://jisho.org/word/%E6%96%87%E7%AB%A0
12	歌う	うたう	to sing	to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem		http://jisho.org/word/%E6%AD%8C%E3%81%86
12	勉強	べんきょう	study	diligence	discount, reduction	http://jisho.org/word/%E5%8B%89%E5%BC%B7
12	着く	つく	to arrive at, to reach	to sit on, to sit at (e.g. the table)		http://jisho.org/word/%E7%9D%80%E3%81%8F
12	着る	きる	to wear (in modern Japanese, from the shoulders down), to put on	to bear (guilt, etc.)		http://jisho.org/word/%E7%9D%80%E3%82%8B
12	暑い	あつい	hot (weather, etc.), warm			http://jisho.org/word/%E6%9A%91%E3%81%84
12	暖かい	あたたかい	warm, mild, genial			http://jisho.org/word/%E6%9A%96%E3%81%8B%E3%81%84
12	飲み物	のみもの	drink, beverage			http://jisho.org/word/%E9%A3%B2%E3%81%BF%E7%89%A9
12	短い	みじかい	short			http://jisho.org/word/%E7%9F%AD%E3%81%84
12	家族	かぞく	family, members of a family	Family		http://jisho.org/word/%E5%AE%B6%E6%97%8F
12	開く	あく	to open (e.g. doors)	to open (e.g. business, etc.)	to be empty	http://jisho.org/word/%E9%96%8B%E3%81%8F
12	旅行	りょこう	travel, trip	Travel		http://jisho.org/word/%E6%97%85%E8%A1%8C
